This file contains data on GBBC bird observations from Ohio!
order,species,lat,year,month,day
Passeriformes,Sitta carolinensis,40.925766,2008,02,16
Passeriformes,Poecile carolinensis,41.7721,2002,02,17
Passeriformes,Baeolophus bicolor,41.17325,2000,02,19
Piciformes,Melanerpes carolinus,39.3125,2002,02,15
Passeriformes,Zonotrichia albicollis,41.7023,2002,02,17
Passeriformes,Haemorhous mexicanus,39.871517,2009,02,14
Passeriformes,Melospiza melodia,41.544186,1999,02,22
Passeriformes,Poecile atricapillus,41.535007,2006,02,20
Passeriformes,Melospiza melodia,41.240955,2002,02,16
Piciformes,Colaptes auratus,41.622204,2007,02,18
Passeriformes,Passer domesticus,41.385796,2001,02,18
Passeriformes,Haemorhous mexicanus,41.64958,1998,02,20
Passeriformes,Calcarius lapponicus,39.96785,2004,02,16
Passeriformes,Agelaius phoeniceus,41.43958,1998,02,22
Anseriformes,Anas platyrhynchos,41.6758,2002,02,15
Passeriformes,Junco hyemalis,40.0991,1999,02,21
Passeriformes,Molothrus ater,40.572861,2007,02,16
Passeriformes,Baeolophus bicolor,40.347626,2006,02,18
Passeriformes,Cardinalis cardinalis,40.08763,2000,02,18
Piciformes,Dendrocopos pubescens,41.44785,2008,02,15
Passeriformes,Cardinalis cardinalis,41.6758,2008,02,18
Passeriformes,Haemorhous mexicanus,40.625443,2001,02,18
Passeriformes,Sturnus vulgaris,40.69208,2007,02,17
Passeriformes,Poecile atricapillus,41.01733,2001,02,16
Passeriformes,Thryothorus ludovicianus,40.05635,2002,02,18
Passeriformes,Mimus polyglottos,39.733624,2001,02,18
Passeriformes,Junco hyemalis,39.407715,2006,02,19
Piciformes,Dendrocopos pubescens,39.71305,2001,02,18
Passeriformes,Poecile atricapillus,39.31411,2001,02,19
Columbiformes,Zenaida macroura,41.174519,2000,02,20
Passeriformes,Zonotrichia albicollis,39.257084,2007,02,17
Piciformes,Colaptes auratus,41.3688,2005,02,19
Passeriformes,Poecile atricapillus,41.3157,2002,02,16
Passeriformes,Poecile atricapillus,41.08146,2009,02,15
Passeriformes,Baeolophus bicolor,40.625443,2009,02,16
Passeriformes,Melospiza melodia,41.07552,2000,02,19
Passeriformes,Sitta canadensis,41.70685,2002,02,15
Piciformes,Melanerpes carolinus,40.48869,2007,02,18
Passeriformes,Sturnus vulgaris,39.882217,1999,02,20
Piciformes,Dendrocopos pubescens,41.387299,1999,02,21
Passeriformes,Poecile atricapillus,41.03834,2005,02,18
Columbiformes,Zenaida macroura,40.09926,2009,02,15
Passeriformes,Zonotrichia albicollis,39.49804,2000,02,19
Passeriformes,Melospiza melodia,39.544,2000,02,20
Passeriformes,Sitta carolinensis,41.46318,2005,02,18
Passeriformes,Molothrus ater,41.03227,2007,02,19
Piciformes,Dendrocopos pubescens,41.7023,2003,02,14
Passeriformes,Sturnus vulgaris,39.937527,2007,02,17
Passeriformes,Pipilo erythrophthalmus,39.26749,2004,02,14
Piciformes,Dryocopus pileatus,41.55195,2008,02,18
Columbiformes,Zenaida macroura,41.02978,2007,02,16
Piciformes,Melanerpes carolinus,41.7023,2003,02,15
Passeriformes,Passer domesticus,39.120701,2001,02,16
Passeriformes,Certhia americana,39.699062,2000,02,21
Passeriformes,Baeolophus bicolor,41.3157,2000,02,20
Passeriformes,Corvus brachyrhynchos,39.5247,2009,02,16
Passeriformes,Poecile atricapillus,39.161961,2004,02,13
Passeriformes,Sitta canadensis,41.152912,2000,02,21
Passeriformes,Baeolophus bicolor,41.317955,2007,02,19
Passeriformes,Sitta carolinensis,40.586762,2004,02,16
Passeriformes,Melospiza melodia,39.167744,2006,02,17
Passeriformes,Molothrus ater,39.3125,2002,02,17
Piciformes,Melanerpes carolinus,41.2888,2007,02,19
Passeriformes,Passer domesticus,41.32231,2002,02,17
Passeriformes,Cardinalis cardinalis,41.6758,2001,02,17
Passeriformes,Cardinalis cardinalis,40.53768,2008,02,16
Passeriformes,Haemorhous mexicanus,39.63087,2006,02,19
Passeriformes,Corvus brachyrhynchos,39.931759,2000,02,18
Passeriformes,Junco hyemalis,39.44778,2006,02,18
Passeriformes,Junco hyemalis,40.586762,2004,02,13
Passeriformes,Mimus polyglottos,39.42817,2003,02,15
Passeriformes,Corvus brachyrhynchos,39.80544,2000,02,19
Passeriformes,Poecile atricapillus,41.02978,2003,02,17
Columbiformes,Zenaida macroura,39.89837,2008,02,16
Passeriformes,Poecile atricapillus,41.93803,2008,02,17
Columbiformes,Zenaida macroura,41.7721,2009,02,15
Piciformes,Melanerpes carolinus,40.1099,2009,02,14
Passeriformes,Zonotrichia albicollis,39.79896,2007,02,17
Passeriformes,Turdus migratorius,40.83029,2007,02,19
Passeriformes,Sitta canadensis,41.2409,2006,02,18
Passeriformes,Junco hyemalis,39.92453,2007,02,16
Passeriformes,Turdus migratorius,39.242363,2002,02,17
Passeriformes,Poecile carolinensis,40.05635,2006,02,19
Passeriformes,Junco hyemalis,41.55195,2007,02,19
Piciformes,Dendrocopos pubescens,41.0996,2004,02,13
Passeriformes,Cardinalis cardinalis,39.71366,2004,02,16
Anseriformes,Aythya collaris,40.68645,2009,02,15
Passeriformes,Spinus tristis,40.62006,2004,02,14
Passeriformes,Sitta carolinensis,41.42299,1999,02,20
Piciformes,Dendrocopos pubescens,40.09612,1999,02,22
Piciformes,Picoides villosus,40.925766,2009,02,16
Passeriformes,Poecile atricapillus,41.5375,2002,02,16
Passeriformes,Haemorhous mexicanus,41.42299,2000,02,20
Passeriformes,Cardinalis cardinalis,41.01862,2007,02,19
Passeriformes,Passer domesticus,39.268959,2004,02,15
Passeriformes,Haemorhous purpureus,41.579033,2009,02,14
Passeriformes,Junco hyemalis,41.70685,2004,02,14
Passeriformes,Haemorhous mexicanus,41.43505,1998,02,21
Passeriformes,Cyanocitta cristata,41.2476,1999,02,22
Passeriformes,Cardinalis cardinalis,41.6758,2007,02,16
Passeriformes,Sturnus vulgaris,41.6758,2007,02,17
Passeriformes,Cardinalis cardinalis,39.229847,2001,02,17
Columbiformes,Zenaida macroura,40.68645,2007,02,16
