class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,adult_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila spilogaster,NA,African Hawk-Eagle,1453.872,2,1,1413.833333,NA,87,43,69,NA,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila verreauxii,NA,Verreaux's Eagle,1817.34,2,1,4195,40,147.5,44.5,94,40,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aviceda,Aviceda cuculoides,NA,African Cuckoo-Hawk,NA,2,1,275.75,NA,31.4,32.5,29,NA,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aviceda,Aviceda jerdoni,NA,Jerdon's Baza,NA,2.7,NA,363,NA,NA,NA,NA,NA,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aviceda,Aviceda leuphotes,NA,Black Baza,NA,2.7,NA,196,NA,NA,NA,NA,NA,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aviceda,Aviceda subcristata,NA,Pacific Baza,NA,2.5,NA,328,NA,29,NA,NA,NA,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Busarellus,Busarellus nigricollis,NA,Black-collared Hawk,NA,1.75,NA,614,NA,64,NA,NA,NA,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Butastur,Butastur indicus,NA,Grey-faced Buzzard,726.936,3,NA,402,8.5,42,NA,35,8.5,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Butastur,Butastur liventer,NA,Rufous-winged Buzzard,NA,2.7,NA,338,NA,NA,NA,NA,NA,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Butastur,Butastur rufipennis,NA,Grasshopper Buzzard,NA,2,NA,335,NA,34,NA,NA,NA,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Butastur,Butastur teesa,NA,White-eyed Buzzard,NA,3,NA,325,NA,NA,NA,NA,NA,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo albigula,NA,White-throated Hawk,726.936,2,NA,495,NA,48,NA,NA,NA,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo albonotatus,NA,Zone-tailed Hawk,NA,2,NA,757,NA,58,35,38.5,NA,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo archeri,NA,Archer's Buzzard,1090.404,2,1,1062.333333,NA,71,39.5,48.5,NA,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo augur,NA,Augur Buzzard,1090.404,2,1,1060.666667,NA,68,39.5,48.5,NA,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo auguralis,NA,Red-necked Buzzard,NA,2.5,NA,670,NA,54,NA,NA,NA,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
