class	order	family	genus	species	common_name	female_maturity_d	litter_or_clutch_size_n	litters_or_clutches_per_y	adult_body_mass_g	maximum_longevity_y	egg_mass_g	incubation_d	fledging_age_d	longevity_y	adult_svl_cm
Aves	Accipitriformes	Accipitridae	Aquila	nipalensis	Steppe Eagle	1453.872	2	1	2534.5	42.5	117	44.5	84	40.65	68.25
Aves	Accipitriformes	Accipitridae	Aquila	rapax	Tawny Eagle	1453.872	2	1	2347	42.5	105.4	44.5	84	40.3	66
Aves	Accipitriformes	Accipitridae	Aquila	spilogaster	African Hawk-Eagle	1453.872	2	1	1413.833333	NA	87	43	69	NA	58.5
Aves	Accipitriformes	Accipitridae	Aquila	verreauxii	Verreaux's Eagle	1817.34	2	1	4195	40	147.5	44.5	94	40	84
Aves	Accipitriformes	Accipitridae	Aviceda	cuculoides	African Cuckoo-Hawk	NA	2	1	275.75	NA	31.4	32.5	29	NA	40.5
Aves	Accipitriformes	Accipitridae	Aviceda	jerdoni	Jerdon's Baza	NA	2.7	NA	363	NA	NA	NA	NA	NA	44.5
Aves	Accipitriformes	Accipitridae	Aviceda	leuphotes	Black Baza	NA	2.7	NA	196	NA	NA	NA	NA	NA	31.5
Aves	Accipitriformes	Accipitridae	Aviceda	subcristata	Pacific Baza	NA	2.5	NA	328	NA	29	NA	NA	NA	40.5
Aves	Accipitriformes	Accipitridae	Busarellus	nigricollis	Black-collared Hawk	NA	1.75	NA	614	NA	64	NA	NA	NA	52.5
Aves	Accipitriformes	Accipitridae	Butastur	indicus	Grey-faced Buzzard	726.936	3	NA	402	8.5	42	NA	35	8.5	44.5
Aves	Accipitriformes	Accipitridae	Butastur	liventer	Rufous-winged Buzzard	NA	2.7	NA	338	NA	NA	NA	NA	NA	38
Aves	Accipitriformes	Accipitridae	Butastur	rufipennis	Grasshopper Buzzard	NA	2	NA	335	NA	34	NA	NA	NA	41.5
Aves	Accipitriformes	Accipitridae	Butastur	teesa	White-eyed Buzzard	NA	3	NA	325	NA	NA	NA	NA	NA	40.5
Aves	Accipitriformes	Accipitridae	Buteo	albigula	White-throated Hawk	726.936	2	NA	495	NA	48	NA	NA	NA	40.5
Aves	Accipitriformes	Accipitridae	Buteo	albonotatus	Zone-tailed Hawk	NA	2	NA	757	NA	58	35	38.5	NA	51
Aves	Accipitriformes	Accipitridae	Buteo	archeri	Archer's Buzzard	1090.404	2	1	1062.333333	NA	71	39.5	48.5	NA	50.5
Aves	Accipitriformes	Accipitridae	Buteo	augur	Augur Buzzard	1090.404	2	1	1060.666667	NA	68	39.5	48.5	NA	51.5
Aves	Accipitriformes	Accipitridae	Buteo	auguralis	Red-necked Buzzard	NA	2.5	NA	670	NA	54	NA	NA	NA	46
Aves	Accipitriformes	Accipitridae	Buteo	bannermani	Cape Verde Buzzard	730	3	1	990.5	28.8	60.7	34	41	25.33333333	49.25
Aves	Accipitriformes	Accipitridae	Buteo	brachypterus	Madagascan Buzzard	NA	2	NA	511	NA	NA	NA	NA	NA	44
Aves	Accipitriformes	Accipitridae	Buteo	brachyurus	Short-tailed Hawk	726.936	2	NA	495	NA	48	NA	NA	NA	40.5
Aves	Accipitriformes	Accipitridae	Buteo	burmanicus	Himalayan Buzzard	910.202	3	1	878.25	28.8	58.5	35	36.75	25.33666667	46
Aves	Accipitriformes	Accipitridae	Buteo	buteo	Common Buzzard	910.202	3	1	878.25	28.8	58.5	35	36.75	25.33666667	46
Aves	Accipitriformes	Accipitridae	Buteo	galapagoensis	Galapagos Hawk	NA	2.35	NA	1163.333333	NA	NA	NA	NA	NA	50.5
Aves	Accipitriformes	Accipitridae	Buteo	hemilasius	Upland Buzzard	726.936	3	1	1342.5	NA	79	30	45	NA	62
Aves	Accipitriformes	Accipitridae	Buteo	jamaicensis	Red-tailed Hawk	730	2.75	1	1126	30.66666667	68	31	45.25	25.5	51.5
Aves	Accipitriformes	Accipitridae	Buteo	japonicus	Eastern Buzzard	910.202	3	1	878.25	28.8	58.5	35	36.75	25.33666667	46
Aves	Accipitriformes	Accipitridae	Buteo	lagopus	Rough-legged Buzzard	728.468	4	1	945.5	18.8	61.5	29.25	41	17.9	53.5
Aves	Accipitriformes	Accipitridae	Buteo	lineatus	Red-shouldered Hawk	545.968	3.2	1	616	22.41666667	57	33	42	20	42.5
Aves	Accipitriformes	Accipitridae	Buteo	nitidus	Grey-lined Hawk	726.936	2	NA	510.5833333	NA	43.2	32	42	NA	41
Aves	Accipitriformes	Accipitridae	Buteo	oreophilus	Mountain Buzzard	NA	2	NA	700	NA	NA	NA	NA	NA	44.5
Aves	Accipitriformes	Accipitridae	Buteo	plagiatus	Grey Hawk	726.936	2	NA	510.5833333	NA	43.2	32	42	NA	41
Aves	Accipitriformes	Accipitridae	Buteo	platypterus	Broad-winged Hawk	584.4	2.5	1	437	18.33333333	41.75	29.5	39.75	16.32	37
Aves	Accipitriformes	Accipitridae	Buteo	regalis	Ferruginous Hawk	730	3.75	1	1469.5	23.7	80	33.25	46	20	58
Aves	Accipitriformes	Accipitridae	Buteo	ridgwayi	Ridgway's Hawk	NA	2	NA	NA	NA	NA	NA	NA	NA	33
Aves	Accipitriformes	Accipitridae	Buteo	rufinus	Long-legged Buzzard	726.936	3.25	1	1174.5	8.5	73	33	46.5	8.5	52.5
Aves	Accipitriformes	Accipitridae	Buteo	rufofuscus	Jackal Buzzard	1090.404	2	1	1062.333333	NA	71	39.5	48.5	NA	50.5
Aves	Accipitriformes	Accipitridae	Buteo	socotraensis	Socotra Buzzard	726.936	3.25	1	1174.5	8.5	73	33	46.5	8.5	52.5
Aves	Accipitriformes	Accipitridae	Buteo	solitarius	Hawaiian Hawk	1095.7275	1	0.5	505	17	62	38	61	17	41.5
Aves	Accipitriformes	Accipitridae	Buteo	swainsoni	Swainson's Hawk	730	2.5	1	969.57	24.08333333	61	32.75	43	16	49
