baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Solyc00g160020.1	0.0591681054917632	0	4.85677794710338	0	1	NA
Solyc00g160340.1	0	NA	NA	NA	NA	NA
Solyc00g160670.1	0	NA	NA	NA	NA	NA
Solyc00g160350.1	0	NA	NA	NA	NA	NA
Solyc00g500123.1	0	NA	NA	NA	NA	NA
Solyc00g500124.1	0	NA	NA	NA	NA	NA
Solyc00g500125.1	4.36246739701185	-0.467891759596378	1.38248574591886	-0.338442375248793	0.735029845322172	0.999076998952386
Solyc00g500126.1	0.178627976093297	0	4.85677794710338	0	1	NA
Solyc00g500127.1	0	NA	NA	NA	NA	NA
Solyc00g500128.1	0	NA	NA	NA	NA	NA
Solyc00g500129.1	1.12910480415017	2.21075213019889	2.11835499032947	1.0436174013757	0.296662438680956	NA
Solyc00g500130.1	0	NA	NA	NA	NA	NA
Solyc00g500131.1	0	NA	NA	NA	NA	NA
Solyc00g500132.1	0	NA	NA	NA	NA	NA
Solyc00g500133.1	0	NA	NA	NA	NA	NA
Solyc00g500134.1	0.0674677812439482	0	4.85677794710338	0	1	NA
Solyc00g500135.1	0	NA	NA	NA	NA	NA
Solyc00g160170.1	0.0799763928378486	0	4.85677794710338	0	1	NA
Solyc00g500136.1	0	NA	NA	NA	NA	NA
Solyc00g500137.1	0	NA	NA	NA	NA	NA
Solyc00g500138.1	0	NA	NA	NA	NA	NA
Solyc00g500139.1	0	NA	NA	NA	NA	NA
Solyc00g500140.1	4.13558473678366	-0.190334470707229	0.971535961355513	-0.19591088572951	0.844679916794885	0.999076998952386
Solyc00g500141.1	0.23509561152852	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc00g500142.1	0	NA	NA	NA	NA	NA
Solyc00g500144.1	0.311289552753399	1.67901267756234	4.15541363454747	0.404054283213417	0.686172802079793	NA
Solyc00g500145.1	2.14371586168072	0.366254681466548	1.87366035019993	0.195475493425191	0.845020721022964	NA
Solyc00g500147.1	0.0580537204820098	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500148.1	0	NA	NA	NA	NA	NA
Solyc00g500149.1	0	NA	NA	NA	NA	NA
Solyc00g500150.1	0.175214867307799	0.717554441538549	4.82088947978441	0.148842748739106	0.881677717711274	NA
Solyc00g500151.1	5.15734699340972	-0.260224167434391	1.07661646388741	-0.241705543397305	0.809008333898178	0.999076998952386
Solyc00g500152.1	0	NA	NA	NA	NA	NA
Solyc00g500153.1	0	NA	NA	NA	NA	NA
Solyc00g500154.1	0.0762126002291614	0	4.85677794710338	0	1	NA
Solyc00g500155.1	0.289517689317513	0.780039474104672	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500156.1	0.0980002152633473	0	4.85677794710338	0	1	NA
Solyc00g500157.1	0.0881137363125708	0	4.85677794710338	0	1	NA
Solyc00g500158.1	0.0762126002291614	0	4.85677794710338	0	1	NA
Solyc00g500159.1	0	NA	NA	NA	NA	NA
Solyc00g500161.1	0	NA	NA	NA	NA	NA
Solyc00g500162.1	0	NA	NA	NA	NA	NA
Solyc00g500163.1	0.0674677812439482	0	4.85677794710338	0	1	NA
Solyc00g160360.1	0	NA	NA	NA	NA	NA
Solyc00g500164.1	74.8977635821583	0.597674130755838	0.450568053168781	1.32649025280971	0.184677361621087	0.867534426982696
Solyc00g500165.1	0.152425200458323	0	4.85677794710338	0	1	NA
Solyc00g112190.2	0	NA	NA	NA	NA	NA
Solyc00g160030.1	0	NA	NA	NA	NA	NA
Solyc00g500166.1	0	NA	NA	NA	NA	NA
Solyc00g500167.1	0	NA	NA	NA	NA	NA
Solyc00g230080.1	0	NA	NA	NA	NA	NA
Solyc00g316530.1	0	NA	NA	NA	NA	NA
Solyc00g069880.2	0	NA	NA	NA	NA	NA
Solyc00g500168.1	0	NA	NA	NA	NA	NA
Solyc00g013100.1	0	NA	NA	NA	NA	NA
Solyc00g013110.1	0	NA	NA	NA	NA	NA
Solyc00g126010.1	0	NA	NA	NA	NA	NA
Solyc00g126000.1	0	NA	NA	NA	NA	NA
Solyc00g125990.1	0	NA	NA	NA	NA	NA
Solyc00g125980.1	0	NA	NA	NA	NA	NA
Solyc00g244300.1	0	NA	NA	NA	NA	NA
Solyc00g244290.1	0.0630280666667566	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g244280.1	0	NA	NA	NA	NA	NA
Solyc00g160370.1	0	NA	NA	NA	NA	NA
Solyc00g500169.1	0	NA	NA	NA	NA	NA
Solyc00g500170.1	0.811013150177131	-0.0786081273340113	2.15789848305293	-0.0364280933284679	0.970941013803916	NA
Solyc00g160380.1	0.220758217230871	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g013170.1	0	NA	NA	NA	NA	NA
Solyc00g013180.1	0.294000645790042	0	4.85677794710338	0	1	NA
Solyc00g160180.1	0	NA	NA	NA	NA	NA
Solyc00g500171.1	0	NA	NA	NA	NA	NA
Solyc00g500172.1	0	NA	NA	NA	NA	NA
Solyc00g320430.1	0	NA	NA	NA	NA	NA
Solyc00g500173.1	0	NA	NA	NA	NA	NA
Solyc00g019730.2	0	NA	NA	NA	NA	NA
Solyc00g500174.1	0.878591662679918	0	4.85677794710338	0	1	NA
Solyc00g500176.1	0	NA	NA	NA	NA	NA
Solyc00g500177.1	0.0558926517854445	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc00g500178.1	0	NA	NA	NA	NA	NA
Solyc00g500179.1	3.04053149930702	1.29991678126285	2.07229734103896	0.627282946090703	0.530473780240884	0.983432442222277
Solyc00g500180.1	0	NA	NA	NA	NA	NA
Solyc00g500181.1	0	NA	NA	NA	NA	NA
Solyc00g160410.1	0	NA	NA	NA	NA	NA
Solyc00g118690.1	17.7411299497905	0.459022527888262	0.630094803024749	0.728497562088657	0.466309060481423	0.976609225535318
Solyc00g160400.1	50.6044659519385	0.746793087834133	0.608547927358621	1.22717218194393	0.219757882569018	0.898341894160018
Solyc00g023590.2	5.96773439453732	0.259920253776004	0.914500456370646	0.284221021395158	0.776241006731704	0.999076998952386
Solyc00g023580.1	0.453503470164035	-2.81774294304696	4.77683652257863	-0.589876360584743	0.555273543658074	NA
Solyc00g023570.1	0.108555157948026	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g014860.1	0.355931659042292	0.823830689236322	4.81322368893973	0.171159859270492	0.864098069337406	NA
Solyc00g014850.1	6.36044798466949	-0.0808204843326984	0.800269966109493	-0.100991525054485	0.91955718780637	0.999076998952386
Solyc00g500183.1	463.044960546928	0.302737233140324	0.370161528410901	0.817851694204882	0.413441876097567	0.971027764866512
Solyc00g500184.1	59.9616176449957	0.0536941382845796	0.347888786187391	0.154342825685842	0.877339431830458	0.999076998952386
Solyc00g500185.1	39.9976167484228	0.053526610086021	0.668848909905254	0.0800279544353348	0.936215022844572	0.999076998952386
Solyc00g014810.1	2.50646396727714	-0.138615759660078	1.39304515334014	-0.0995055754852708	0.92073686127515	0.999076998952386
Solyc00g014800.1	5.71594296112688	0.610473154893562	0.782824117001741	0.779834373564917	0.435488370854373	0.975055904625589
Solyc00g014790.2	8.97201261449691	0.259997484866639	0.834440558621978	0.31158299075971	0.755357462563997	0.999076998952386
Solyc00g094550.1	0.300922377679294	0	4.85677794710338	0	1	NA
Solyc00g094540.1	10.3527530271263	-0.708482427072849	0.790951402060758	-0.895734460078023	0.370394601121822	0.965312101298947
Solyc00g094530.1	13.9503486257627	0.0583164033968823	0.651979357758843	0.0894451683214987	0.928728128170161	0.999076998952386
Solyc00g094520.1	8.10319367537405	1.37720646735657	0.822944138340639	1.6735114854011	0.0942266474305107	0.727241999964373
Solyc00g023700.2	0	NA	NA	NA	NA	NA
Solyc00g023710.1	0	NA	NA	NA	NA	NA
Solyc00g049210.1	0	NA	NA	NA	NA	NA
Solyc00g049220.1	0	NA	NA	NA	NA	NA
Solyc00g500186.1	0	NA	NA	NA	NA	NA
Solyc00g500187.1	0	NA	NA	NA	NA	NA
Solyc00g500188.1	0	NA	NA	NA	NA	NA
Solyc00g500189.1	0	NA	NA	NA	NA	NA
Solyc00g160390.1	0.152425200458323	0	4.85677794710338	0	1	NA
Solyc00g021660.1	0	NA	NA	NA	NA	NA
Solyc00g500190.1	0.436602201417509	-0.54494886010037	4.76199102343311	-0.11443718760047	0.908891236173112	NA
Solyc00g500191.2	0.42362251137356	0.81833517018797	3.91571440481634	0.208987450458954	0.834458035394661	NA
Solyc00g500192.1	0.141432398050236	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500193.1	0.0674677812439482	0	4.85677794710338	0	1	NA
Solyc00g160420.1	0	NA	NA	NA	NA	NA
Solyc00g500194.1	0	NA	NA	NA	NA	NA
Solyc00g500195.1	0.0799763928378486	0	4.85677794710338	0	1	NA
Solyc00g500196.2	0.296586943996641	0	4.85677794710338	0	1	NA
Solyc00g500197.1	0	NA	NA	NA	NA	NA
Solyc00g500198.1	0	NA	NA	NA	NA	NA
Solyc00g500199.1	0	NA	NA	NA	NA	NA
Solyc00g500200.1	0	NA	NA	NA	NA	NA
Solyc00g500201.1	0	NA	NA	NA	NA	NA
Solyc00g500202.1	0	NA	NA	NA	NA	NA
Solyc00g500203.1	0	NA	NA	NA	NA	NA
Solyc00g500204.1	0	NA	NA	NA	NA	NA
Solyc00g500205.1	0	NA	NA	NA	NA	NA
Solyc00g160190.1	0	NA	NA	NA	NA	NA
Solyc00g500206.1	1.25089691055903	-0.376276181784103	1.98915398043571	-0.189163928727973	0.849964337927137	NA
Solyc00g500207.1	0.0630280666667566	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500208.1	0	NA	NA	NA	NA	NA
Solyc00g500209.1	0	NA	NA	NA	NA	NA
Solyc00g500210.1	0.053318661737665	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500211.1	0	NA	NA	NA	NA	NA
Solyc00g500213.1	0	NA	NA	NA	NA	NA
Solyc00g500214.1	0	NA	NA	NA	NA	NA
Solyc00g322630.1	0	NA	NA	NA	NA	NA
Solyc00g500215.1	0.753915777816528	-1.14353122633841	4.85677794710338	-0.235450588598645	0.813859025439533	NA
Solyc00g500216.2	0.574465282341733	0.521105488127854	3.05287414358203	0.170693406809239	0.864464847348841	NA
Solyc00g500218.1	0	NA	NA	NA	NA	NA
Solyc00g266110.1	0	NA	NA	NA	NA	NA
Solyc00g254910.1	0.0865252931858461	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc00g500219.1	0.053318661737665	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500220.1	0	NA	NA	NA	NA	NA
Solyc00g500222.2	0.233677136562888	0.780039474104671	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc03g042528.2	0	NA	NA	NA	NA	NA
Solyc03g042550.2	0	NA	NA	NA	NA	NA
Solyc00g160680.1	0	NA	NA	NA	NA	NA
Solyc00g160450.1	0	NA	NA	NA	NA	NA
Solyc00g160430.1	0.619885856202042	0.780041190661236	4.38032347123714	0.178078444613344	0.858661370158558	NA
Solyc00g198360.1	0.0799763928378486	0	4.85677794710338	0	1	NA
Solyc00g160440.1	0.603426934267528	-1.90699574871924	3.63403039362819	-0.524760539169656	0.599749666554146	NA
Solyc00g036520.1	0	NA	NA	NA	NA	NA
Solyc00g052540.1	0	NA	NA	NA	NA	NA
Solyc00g052530.2	0	NA	NA	NA	NA	NA
Solyc00g500224.1	0.249142018242675	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g047180.1	0	NA	NA	NA	NA	NA
Solyc00g047190.1	0	NA	NA	NA	NA	NA
Solyc00g047200.1	0	NA	NA	NA	NA	NA
Solyc00g160040.1	0	NA	NA	NA	NA	NA
Solyc00g500225.1	0	NA	NA	NA	NA	NA
Solyc00g500226.1	0	NA	NA	NA	NA	NA
Solyc00g500227.1	0	NA	NA	NA	NA	NA
Solyc00g500228.1	18.1396589340309	-0.925725180268842	0.608331853241949	-1.52174372480321	0.128073307039847	0.798687025398457
Solyc00g500229.1	0	NA	NA	NA	NA	NA
Solyc00g500230.1	0	NA	NA	NA	NA	NA
Solyc00g160050.1	0	NA	NA	NA	NA	NA
Solyc00g160200.1	0	NA	NA	NA	NA	NA
Solyc00g500232.1	4.72642028302064	-1.38939643536471	1.88056123671499	-0.738820097021536	0.460016246647049	0.976499873031799
Solyc00g160470.1	0	NA	NA	NA	NA	NA
Solyc00g160460.1	32.5293688714612	0.605185895266671	0.490467104471248	1.23389701317298	0.217241282661274	0.895844003009253
Solyc00g500233.1	0	NA	NA	NA	NA	NA
Solyc00g500235.1	0	NA	NA	NA	NA	NA
Solyc00g500236.1	5.14025944354935	-0.636977343862183	1.23883628513643	-0.514173948167843	0.607130380167723	0.990604486885805
Solyc00g500237.1	0	NA	NA	NA	NA	NA
Solyc00g230070.1	0	NA	NA	NA	NA	NA
Solyc00g025300.1	0	NA	NA	NA	NA	NA
Solyc00g025290.1	0.491033955334931	-1.14353169128909	4.77233029129567	-0.239617046912029	0.810627148199831	NA
Solyc00g500238.1	1.06209731002254	-1.14354018009033	2.81582921406174	-0.406111341689227	0.68466079267856	NA
Solyc00g020040.1	9.15193284343281	-0.662629499979553	0.880699692387691	-0.752389839245973	0.451816655165869	0.976330482795946
Solyc00g020030.1	0.634152122952098	0	3.6802199443832	0	1	NA
Solyc00g020020.2	6.84485564220692	0.172913055927732	0.971498968750037	0.177985835795799	0.858734099528018	0.999076998952386
Solyc00g020010.1	31.3800496224215	0.199396168926673	0.416854636611635	0.478335015168469	0.632411778232465	0.993410851175334
Solyc00g020000.1	167.172321133243	-0.0353832000808765	0.701202552318184	-0.0504607405718922	0.95975523401164	0.999076998952386
Solyc00g019990.1	8.43131754510924	0.166946634045204	1.1475069141976	0.145486386164342	0.884326863657801	0.999076998952386
Solyc00g019980.3	21.3698881623171	-0.976591766267328	0.674923167641925	-1.44696731878294	0.147906076995752	0.826649650227181
Solyc00g019970.2	33.0774805619031	-0.0531264533703526	0.568323532914574	-0.0934792425326829	0.925522839537747	0.999076998952386
Solyc00g019950.2	32.7495355044718	-0.0792056174388641	0.450029566002055	-0.176000919545145	0.860293220031735	0.999076998952386
Solyc00g160060.1	0	NA	NA	NA	NA	NA
Solyc00g500239.1	0	NA	NA	NA	NA	NA
Solyc00g500240.1	0.395214055581909	1.62892983860612	4.77010805220208	0.341486989556587	0.732736997713845	NA
Solyc00g500241.1	0.169787273498742	-1.14353122633841	4.85677794710338	-0.235450588598645	0.813859025439533	NA
Solyc00g036530.1	0	NA	NA	NA	NA	NA
Solyc00g500242.1	0.567711887825827	-0.18174733082684	2.75328067743966	-0.0660111888759017	0.947368917450895	NA
Solyc00g500244.1	0.232935777751244	0	4.85677794710338	0	1	NA
Solyc00g500245.1	8.80151471146753	-0.228937618054828	0.799612355297476	-0.286310756128396	0.774640120609073	0.999076998952386
Solyc00g500246.1	0.053318661737665	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g007450.1	0	NA	NA	NA	NA	NA
Solyc00g160490.1	0	NA	NA	NA	NA	NA
Solyc00g160690.1	0	NA	NA	NA	NA	NA
Solyc00g160480.1	0	NA	NA	NA	NA	NA
Solyc00g016590.1	0	NA	NA	NA	NA	NA
Solyc00g160210.1	0	NA	NA	NA	NA	NA
Solyc00g028960.1	0	NA	NA	NA	NA	NA
Solyc00g500247.1	0	NA	NA	NA	NA	NA
Solyc00g500248.1	0	NA	NA	NA	NA	NA
Solyc00g500249.1	0	NA	NA	NA	NA	NA
Solyc00g500250.1	10.7486577412545	0.510623446245692	0.60536835200404	0.84349213921623	0.398953260248571	0.967151982150322
Solyc00g500251.1	0	NA	NA	NA	NA	NA
Solyc00g500252.1	0.117221825973773	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500253.1	0	NA	NA	NA	NA	NA
Solyc00g160500.1	0	NA	NA	NA	NA	NA
Solyc00g021650.1	3.82211693124183	1.06804781841194	1.31954827557653	0.809404125775762	0.418282729821671	0.972366406087475
Solyc00g021640.2	104.568941814042	-0.0703866475687921	0.560432614731956	-0.125593417867832	0.900053773478547	0.999076998952386
Solyc00g021630.1	37.0932322267583	-0.207477514185574	0.561445178826236	-0.369541892975783	0.711723853320496	0.998851007774338
Solyc00g500254.1	0.926348548627379	-0.967413168986533	2.54324948214057	-0.380384691230643	0.703659876744391	NA
Solyc00g181240.1	0.111785303570889	-1.87187934467759	4.83118300327433	-0.387457760016319	0.698417350135132	NA
